X,Player,avg,gp.gs,ab,r,h,X2b,X3b,hr,rbi,tb,slg.,bb,hbp,so,gdp,ob.,sf,sh,sb.att,era,w.l,app.gs,cg,sho,sv,ip,er,b.avg,wp,bk,Year,Gametype
95,"DENIS Remian, QUI",0.238,31-20,84,8,20,2,0,1,10,25,0.298,10,1,15,2,0.323,1,0,2-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2019","Reguliere competitie"
96,"VERHEYLEWEGHEN Jamie, TWI",0.237,21-19,59,7,14,0,1,0,6,16,0.271,13,0,8,1,0.37,1,4,0-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2019","Reguliere competitie"
97,"GIJSBERTHA Jaison, PIO",0.237,28-23,76,6,18,1,1,0,11,21,0.276,8,2,14,4,0.326,0,3,1-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2019","Reguliere competitie"
98,"MELIS Damian, PIO",0.237,24-21,76,4,18,2,0,0,6,20,0.263,2,2,13,3,0.275,0,1,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2019","Reguliere competitie"
99,"KOPS Max, TWI",0.235,29-23,85,12,20,6,0,0,5,26,0.306,8,1,30,2,0.309,0,1,5-6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2019","Reguliere competitie"
100,"BONEVACIA Arthur, TWI",0.235,23-21,68,3,16,3,0,1,7,22,0.324,6,1,15,1,0.307,0,1,0-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2019","Reguliere competitie"
101,"GE Chris, TWI",0.225,18-11,40,6,9,1,0,0,2,10,0.25,5,2,13,1,0.34,0,2,3-4,11.57,0-0,1-0,0,0/0,0,2.1,3,0.455,0,0,"Seizoen 2019","Reguliere competitie"
102,"SCHOOP Sergio, STO",0.22,16-15,59,7,13,4,1,1,7,22,0.373,1,2,21,0,0.258,0,1,4-4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2019","Reguliere competitie"
103,"JANSSEN Dave, TWI",0.219,15-10,32,7,7,1,0,1,2,11,0.344,4,1,10,0,0.324,0,0,3-3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2019","Reguliere competitie"
104,"LUGTMEIJER Arthur, HCA",0.213,34-25,94,9,20,3,0,0,10,23,0.245,9,1,22,6,0.288,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2019","Reguliere competitie"
