X,Player,avg,gp.gs,ab,r,h,X2b,X3b,hr,rbi,tb,slg.,bb,hbp,so,gdp,ob.,sf,sh,sb.att,era,w.l,app.gs,cg,sho,sv,ip,er,b.avg,wp,bk,Year,Gametype
836,"SCHEL Robin, AMS",0,14-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,3.09,7-1,14-8,0,0/2,0,58.1,20,0.244,3,0,"Seizoen 2017",Hoofdklasse
837,"YAMASHITA Daisuke, TWI",0,11-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,8.78,0-3,11-3,0,0/0,1,27.2,27,0.299,4,0,"Seizoen 2017",Hoofdklasse
838,"CORDEMANS Rob, AMS",0,12-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,1.58,10-0,12-12,0,0/3,0,74,13,0.18,2,0,"Seizoen 2017",Hoofdklasse
839,"JAMOENA Darryl, PIO",0,16-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,2.91,1-2,16-2,1,1/0,0,21.2,7,0.247,1,0,"Seizoen 2017",Hoofdklasse
840,"BERG vd Mike, NEP",0,1-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,12,0-0,1-1,0,0/0,0,3,4,0.438,0,0,"Seizoen 2017",Hoofdklasse
841,"ANGELA Jeremy, UVV",0,7-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,5.73,0-0,7-0,0,0/0,1,11,7,0.195,1,1,"Seizoen 2017",Hoofdklasse
842,"HEIJNINGEN v Henk, NEP",0,1-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,3.86,1-0,1-0,0,0/0,0,2.1,1,0.111,0,0,"Seizoen 2017",Hoofdklasse
843,"MIL v Loek, NEP",0,8-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,1.46,0-0,8-0,0,0/1,0,12.1,2,0.186,2,0,"Seizoen 2017",Hoofdklasse
844,"WASSINK Glenn, PIO",0,18-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,5.2,2-2,18-1,0,0/0,1,36.1,21,0.301,1,0,"Seizoen 2017",Hoofdklasse
845,"GRONINGEN v Steven, HCA",0,16-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,3.21,1-0,16-0,0,0/2,1,28,10,0.257,4,0,"Seizoen 2017",Hoofdklasse
846,"PLOEGER Jim, HCA",0,12-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,2.36,5-3,12-12,0,0/2,0,68.2,18,0.186,4,0,"Seizoen 2017",Hoofdklasse
847,"MORENO Jose, UVV",0,21-0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,4.32,1-1,20-0,0,0/0,1,33.1,16,0.264,1,0,"Seizoen 2017",Hoofdklasse
848,"BEEK ter Luuk, PIO",0,4-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,2.08,0-0,4-0,0,0/0,1,4.1,1,0.133,0,0,"Seizoen 2017",Hoofdklasse
849,"ANCUM v Timo, UVV",0,13-12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,4.11,2-6,12-12,0,0/0,0,70,32,0.234,1,0,"Seizoen 2017",Hoofdklasse
850,"COCU Raf, TWI",0,3-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,2.08,0-0,3-0,0,0/0,0,4.1,1,0.353,0,0,"Seizoen 2017",Hoofdklasse
851,"LEBACKS Sharlon, TWI",0,2-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,48.6,0-1,2-0,0,0/0,0,1.2,9,0.571,0,0,"Seizoen 2017",Hoofdklasse
852,"YNTEMA Orlando, NEP",0,2-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,5.4,0-0,2-2,0,0/0,0,3.1,2,0.333,0,0,"Seizoen 2017",Hoofdklasse
853,"EVERTSE Jan, TWI",0,18-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,5.61,0-5,18-5,0,0/0,0,51.1,32,0.305,12,0,"Seizoen 2017",Hoofdklasse
854,"LINGEN v Timo, DSS",0,2-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,4.91,0-0,2-0,0,0/0,0,3.2,2,0.438,0,0,"Seizoen 2017",Hoofdklasse
855,"SCHOEMAKER Brendan, TWI",0,16-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,5.73,3-5,16-6,0,0/0,1,55,35,0.32,3,0,"Seizoen 2017",Hoofdklasse
856,"MULLER Gregory, NEP",0.377,18-17,61,13,23,6,0,1,9,32,0.525,10,0,9,1,0.465,0,1,3-3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2017",Play-offs
857,"BERKENBOSCH Kenny, AMS",0.355,18-18,62,20,22,7,1,0,17,31,0.5,13,2,7,1,0.468,2,0,3-3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2017",Play-offs
858,"DILLE Benjamin, NEP",0.34,14-14,53,5,18,0,1,0,9,20,0.377,5,0,3,1,0.397,0,2,2-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2017",Play-offs
859,"URBANUS Nick, AMS",0.338,17-17,71,14,24,6,0,1,10,33,0.465,4,1,6,1,0.377,1,3,2-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2017",Play-offs
860,"LEONORA Dudley, PIO",0.333,18-18,66,9,22,5,0,1,17,30,0.455,4,1,5,3,0.37,2,0,3-5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2017",Play-offs
861,"LAMPE Gilmer, AMS",0.328,18-17,64,16,21,5,0,1,11,29,0.453,10,0,11,0,0.413,1,0,4-6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2017",Play-offs
862,"BOEKHOUDT Gianison, NEP",0.323,18-18,65,16,21,4,0,4,13,37,0.569,17,0,15,2,0.458,1,0,2-3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2017",Play-offs
863,"DAANTJI Shaldimar, NEP",0.311,17-17,61,10,19,1,2,0,8,24,0.393,7,0,5,0,0.371,2,1,5-7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2017",Play-offs
864,"CROES Zerzinho, AMS",0.299,16-16,67,11,20,0,0,0,7,20,0.299,4,1,1,3,0.347,0,3,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2017",Play-offs
865,"HENRIQUE Roelie, HCA",0.288,14-14,52,3,15,4,0,0,8,19,0.365,6,0,7,0,0.362,0,1,4-4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2017",Play-offs
866,"GARIO Mervin, PIO",0.288,15-15,52,15,15,2,0,3,5,26,0.5,5,5,8,1,0.403,0,0,5-6,0,0-0,1-0,0,0/0,0,0.2,0,0.571,1,0,"Seizoen 2017",Play-offs
867,"DIRKSEN Kevin, HCA",0.286,18-16,63,8,18,4,0,1,7,25,0.397,9,0,7,6,0.375,0,0,0-0,0,0-0,1-0,0,0/0,0,1,0,0.2,0,0,"Seizoen 2017",Play-offs
868,"FERNANDES Daniel, NEP",0.284,18-18,67,16,19,4,1,0,12,25,0.373,7,1,16,1,0.36,0,0,2-4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2017",Play-offs
869,"MARLIN Shurman, PIO",0.279,18-17,61,12,17,1,0,3,10,27,0.443,7,1,15,0,0.362,0,0,1-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2017",Play-offs
870,"FROLIJK Rossini, HCA",0.278,17-14,54,6,15,4,0,0,10,19,0.352,4,0,12,2,0.322,1,1,1-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2017",Play-offs
871,"ROMBLEY Danny, AMS",0.277,17-17,65,12,18,2,0,1,18,23,0.354,9,0,14,1,0.355,2,0,2-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2017",Play-offs
872,"KEMP Dwayne, NEP",0.276,18-17,76,12,21,6,0,1,14,30,0.395,1,0,6,4,0.282,1,0,3-3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2017",Play-offs
873,"ROOI Vince, HCA",0.269,16-15,52,9,14,1,0,0,2,15,0.288,8,1,9,1,0.377,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2017",Play-offs
874,"KOEDIJK Jochem, NEP",0.267,18-18,60,10,16,2,0,0,12,18,0.3,9,0,13,3,0.362,0,0,2-3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2017",Play-offs
875,"CROES Linoy, AMS",0.267,13-11,45,4,12,1,0,0,4,13,0.289,5,0,11,0,0.34,0,0,2-3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2017",Play-offs
876,"SMIT Mark, PIO",0.267,17-15,45,9,12,0,0,0,7,12,0.267,7,2,7,0,0.375,2,1,4-4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2017",Play-offs
877,"WEIJGERTSE Kevin, HCA",0.263,18-17,57,6,15,3,0,0,7,18,0.316,4,2,7,1,0.333,0,0,0-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2017",Play-offs
878,"MEER vd Stijn, NEP",0.258,17-16,66,11,17,0,0,1,2,20,0.303,9,1,6,2,0.355,0,1,4-4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2017",Play-offs
879,"CLARIJS Max, AMS",0.255,14-13,47,7,12,5,0,0,1,17,0.362,5,0,15,1,0.327,0,1,2-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2017",Play-offs
880,"ARENDS Jeffrey, PIO",0.25,18-16,56,8,14,1,0,0,2,15,0.268,11,0,12,1,0.373,0,0,0-0,0,1-0,2-0,0,0/0,0,1,0,0,0,0,"Seizoen 2017",Play-offs
881,"VISSER Seb, HCA",0.241,18-15,54,7,13,0,0,0,8,13,0.241,9,2,14,3,0.364,1,1,1-1,5.4,0-1,1-0,0,0/0,0,1.2,1,0.333,0,0,"Seizoen 2017",Play-offs
882,"GERARD Rashid, AMS",0.224,16-14,49,3,11,3,0,0,9,14,0.286,7,2,6,2,0.345,0,1,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2017",Play-offs
883,"ENGELHARDT Rachid, HCA",0.224,17-17,58,7,13,2,0,0,3,15,0.259,6,3,6,1,0.328,0,1,1-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2017",Play-offs
884,"DRAIJER Remco, AMS",0.214,18-18,70,10,15,4,0,0,3,19,0.271,13,2,9,1,0.353,0,3,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2017",Play-offs
885,"TUHUMURY Boyd, HCA",0.167,15-15,48,8,8,2,0,0,3,10,0.208,5,0,3,1,0.236,2,2,0-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2017",Play-offs
886,"VERKERK Ruar, NEP",0.164,17-16,55,8,9,0,0,0,5,9,0.164,3,3,12,2,0.242,1,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2017",Play-offs
888,"WASSINK Glenn, PIO",1,10-0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0-0,5.68,0-0,9-0,0,0/1,0,12.2,8,0.294,0,0,"Seizoen 2017",Play-offs
889,"SAMS Kalian, AMS",0.667,1-1,3,2,2,0,0,2,2,8,2.667,1,0,0,0,0.75,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2017",Play-offs
890,"COLLINS Darryl, NEP",0.429,5-1,7,2,3,0,0,0,0,3,0.429,1,0,0,0,0.5,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2017",Play-offs
891,"TROMP Jeandro, HCA",0.4,3-2,10,2,4,1,0,0,1,5,0.5,0,0,3,0,0.4,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2017",Play-offs
892,"FROLIJK Gianni, PIO",0.353,13-10,34,3,12,2,0,0,2,14,0.412,2,1,13,1,0.405,0,0,0-0,27,0-0,1-0,0,0/0,0,0.1,1,0.5,0,0,"Seizoen 2017",Play-offs
893,"SELASSA Delano, HCA",0.349,10-10,43,7,15,1,0,0,6,16,0.372,3,0,10,1,0.391,0,1,2-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2017",Play-offs
894,"KOSTER Dylan, HCA",0.333,10-9,36,3,12,1,0,0,7,13,0.361,0,0,1,1,0.324,1,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2017",Play-offs
895,"NIEKERK Tim, HCA",0.333,9-1,3,3,1,0,0,0,1,1,0.333,3,0,1,0,0.667,0,0,0-0,8.59,0-1,6-0,0,0/0,0,7.1,7,0.29,5,0,"Seizoen 2017",Play-offs
896,"BRANDS Paul, PIO",0.316,5-5,19,5,6,0,1,1,2,11,0.579,1,0,4,1,0.35,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2017",Play-offs
897,"AUSSEMS Jesse, AMS",0.29,11-9,31,1,9,1,0,0,7,10,0.323,3,1,3,0,0.361,1,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2017",Play-offs
898,"KORTSTAM Dalvin, HCA",0.286,2-2,7,0,2,0,0,0,1,2,0.286,1,0,2,0,0.375,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2017",Play-offs
899,"CUBA de Quentin, PIO",0.263,6-5,19,0,5,0,0,0,2,5,0.263,0,0,3,0,0.263,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2017",Play-offs
900,"DRAIJER Max, PIO",0.256,14-11,43,8,11,4,0,0,6,15,0.349,4,1,6,2,0.333,0,0,2-2,0,0-0,1-0,0,0/0,0,0.2,0,0.5,0,0,"Seizoen 2017",Play-offs
901,"WEERT de Dexter, HCA",0.25,2-2,8,1,2,1,0,0,2,3,0.375,1,0,1,1,0.333,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2017",Play-offs
902,"EEMAN Joey, PIO",0.237,12-12,38,1,9,3,0,0,1,12,0.316,4,1,5,0,0.326,0,1,2-3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2017",Play-offs
903,"NIJHOF Brennan, PIO",0.235,10-4,17,2,4,1,0,0,2,5,0.294,1,2,4,0,0.35,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2017",Play-offs
904,"KORTSTAM Raoell, HCA",0.226,14-10,31,4,7,0,0,1,3,10,0.323,7,0,7,0,0.368,0,0,1-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2017",Play-offs
905,"RAAP Brian, NEP",0.214,12-8,28,5,6,1,0,0,5,7,0.25,4,0,8,0,0.313,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2017",Play-offs
906,"WIJST vd Oliver, PIO",0.2,12-10,40,6,8,2,0,1,6,13,0.325,4,0,16,0,0.273,0,0,3-6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2017",Play-offs
907,"JONGERIUS Norbert, AMS",0.2,6-5,20,2,4,1,0,0,1,5,0.25,1,1,3,1,0.273,0,0,1-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2017",Play-offs
908,"NUIJTEN Duco, PIO",0.188,10-4,16,0,3,0,0,0,1,3,0.188,0,0,3,0,0.188,0,1,0-0,9,0-0,2-0,0,0/0,0,2,2,0.143,4,0,"Seizoen 2017",Play-offs
909,"PAAP Sander, PIO",0.182,10-8,22,3,4,3,0,0,1,7,0.318,5,0,3,0,0.333,0,2,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2017",Play-offs
910,"BAKKER Glenn, PIO",0.163,15-12,43,0,7,1,0,0,5,8,0.186,2,0,8,2,0.196,1,0,1-2,10.8,0-0,1-0,0,0/0,0,1.2,2,0.444,0,0,"Seizoen 2017",Play-offs
911,"BOK Patrick, AMS",0.16,10-6,25,1,4,1,0,0,2,5,0.2,4,1,2,0,0.3,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2017",Play-offs
912,"PITERNELLA Ruendrick, NEP",0.143,2-2,7,0,1,0,0,0,1,1,0.143,0,0,0,0,0.143,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2017",Play-offs
913,"SILBERIE Diamond, HCA",0.083,10-2,12,3,1,1,0,0,0,2,0.167,1,0,4,1,0.154,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2017",Play-offs
914,"LUGTMEIJER Arthur, HCA",0,2-0,5,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2017",Play-offs
915,"KAREL Sedley, HCA",0,7-1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0-0,6.52,0-1,6-1,0,0/0,0,9.2,7,0.243,0,0,"Seizoen 2017",Play-offs
916,"DELEMARRE Ian, HCA",0,6-6,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0-0,5.22,2-3,6-5,0,0/0,0,29.1,17,0.28,4,0,"Seizoen 2017",Play-offs
917,"WICKLERT Angelo, PIO",0,4-0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0-0,0,0-0,2-0,0,0/0,0,2,0,0.143,0,0,"Seizoen 2017",Play-offs
918,"WERKMAN Koen, HCA",0,4-0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2017",Play-offs
920,"BEEK ter Luuk, PIO",0,4-2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,6.75,1-1,3-2,0,0/0,0,10.2,8,0.348,1,0,"Seizoen 2017",Play-offs
921,"KOEIMAN Elton, NEP",0,7-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,1.69,2-0,7-1,0,0/0,0,21.1,4,0.244,3,0,"Seizoen 2017",Play-offs
922,"HOEK v Rowan, HCA",0,1-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2017",Play-offs
923,"ELSHOF Leon, HCA",0,1-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,15,0-0,1-0,0,0/0,0,3,5,0.438,0,0,"Seizoen 2017",Play-offs
924,"IANNELLI Stefan, NEP",0,1-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,2.7,0-0,1-0,0,0/0,0,3.1,1,0.154,0,0,"Seizoen 2017",Play-offs
925,"BROCKEN Hidde, AMS",0,1-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,11.25,1-0,1-0,0,0/0,0,4,5,0.35,1,0,"Seizoen 2017",Play-offs
926,"WARD Kyle, AMS",0,3-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,0,0-0,3-0,0,0/1,0,2.2,0,0.273,0,0,"Seizoen 2017",Play-offs
927,"CLEMENSIA Taylor, PIO",0,5-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,18.9,0-1,5-0,0,0/0,0,3.1,7,0.286,0,1,"Seizoen 2017",Play-offs
928,"TENSEN Giovanni, HCA",0,3-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,9,0-0,3-0,0,0/0,0,2,2,0,0,0,"Seizoen 2017",Play-offs
929,"SEELBACH Den, NEP",0,2-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2017",Play-offs
930,"KEUR Nick, PIO",0,2-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,2.25,0-0,1-1,0,0/0,0,4,1,0.214,0,0,"Seizoen 2017",Play-offs
931,"POPKEN Jasper, HCA",0,5-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,7.2,0-0,5-0,0,0/0,0,5,4,0.278,3,0,"Seizoen 2017",Play-offs
932,"HARCKSEN Misja, NEP",0,4-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,4.26,1-0,4-0,0,0/0,0,6.1,3,0.28,2,0,"Seizoen 2017",Play-offs
933,"KELLY Kevin, NEP",0,6-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,4.08,2-1,6-6,0,0/0,0,28.2,13,0.25,0,0,"Seizoen 2017",Play-offs
934,"MEURIS Oscar, HCA",0,5-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,11.57,0-1,5-0,0,0/0,0,4.2,6,0.333,0,0,"Seizoen 2017",Play-offs
935,"VORK Moreno, HCA",0,11-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,7.82,0-0,11-0,0,0/0,1,12.2,11,0.362,5,0,"Seizoen 2017",Play-offs
936,"RIETEL Maickel, PIO",0,7-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,3.68,0-0,7-0,0,0/1,1,7.1,3,0.192,0,0,"Seizoen 2017",Play-offs
937,"VELTKAMP Nick, AMS",0,8-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,9,0-1,8-1,0,0/0,1,8,8,0.294,0,0,"Seizoen 2017",Play-offs
938,"HENDRIX Daan, AMS",0,11-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,2.6,1-0,11-0,0,0/1,1,17.1,5,0.275,0,0,"Seizoen 2017",Play-offs
939,"SCHEL Robin, AMS",0,6-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,3.24,3-1,6-6,0,0/1,0,33.1,12,0.295,0,0,"Seizoen 2017",Play-offs
940,"HEIJSTEK Kevin, AMS",0,6-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,2.38,5-0,6-5,2,1/0,0,41.2,11,0.237,0,1,"Seizoen 2017",Play-offs
941,"JAMOENA Darryl, PIO",0,8-0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0-0,16.2,0-1,7-0,0,0/0,0,8.1,15,0.386,3,1,"Seizoen 2017",Play-offs
942,"PFAU Chris, PIO",0,6-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,3.73,3-2,6-6,0,0/1,0,31.1,13,0.237,1,0,"Seizoen 2017",Play-offs
943,"TIMMERMANS Kaj, HCA",0,6-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,5.13,1-3,6-6,0,0/0,0,33.1,19,0.343,5,0,"Seizoen 2017",Play-offs
944,"DRIEL v Berry, NEP",0,6-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,0,0-0,6-0,0,0/0,2,6.1,0,0.174,0,0,"Seizoen 2017",Play-offs
945,"YNTEMA Orlando, NEP",0,6-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,2.73,3-2,6-5,0,0/1,0,26.1,8,0.271,3,0,"Seizoen 2017",Play-offs
946,"STEIJL Dion, PIO",0,7-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,3.96,1-3,7-3,1,1/0,0,25,11,0.255,1,1,"Seizoen 2017",Play-offs
947,"HUIJER Lars, PIO",0,6-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,4.54,0-4,6-6,1,0/0,0,35.2,18,0.288,2,0,"Seizoen 2017",Play-offs
948,"BURGERSDIJK Dennis, AMS",0,10-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,5.12,1-2,10-0,0,0/0,3,19.1,11,0.31,4,0,"Seizoen 2017",Play-offs
949,"CORDEMANS Rob, AMS",0,6-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,2.76,2-1,6-6,0,0/0,0,32.2,10,0.252,0,0,"Seizoen 2017",Play-offs
950,"MIL v Loek, NEP",0,12-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,4.15,0-1,12-0,0,0/0,1,13,6,0.224,1,0,"Seizoen 2017",Play-offs
951,"TOMEK Jan, NEP",0,8-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,1.65,2-0,8-0,0,0/1,1,16.1,3,0.167,3,0,"Seizoen 2017",Play-offs
952,"MARKWELL Diegomar, NEP",0,6-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,2.55,4-0,6-6,1,1/0,0,35.1,10,0.222,0,1,"Seizoen 2017",Play-offs
953,"GRONINGEN v Steven, HCA",0,2-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,0,0-0,2-0,0,0/0,0,4.2,0,0.118,0,0,"Seizoen 2017",Play-offs
954,"PLOEGER Jim, HCA",0,6-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,5.05,0-5,6-6,1,0/0,0,35.2,20,0.275,3,0,"Seizoen 2017",Play-offs
955,"ELFRINK Jasper, HCA",0,2-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,13.5,0-0,2-0,0,0/0,0,0.2,1,0.5,2,0,"Seizoen 2017",Play-offs
956,"YONIS Ruigino, TWI",0.478,7-7,23,7,11,3,0,2,6,20,0.87,3,1,1,1,0.556,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2017",Promotie/Degradatie
