Player,Stats,Season,gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,atBatsPerHomeRun
"Xander ""X-Man"" Bogaerts",Career Hitting,2019,914.0,1001.0,913.0,542.0,228.0,14.0,107.0,715.0,321.0,14.0,1022.0,31.0,0.288,3545.0,0.35,0.451,0.801,14.0,53.0,0.791,84.0,15802.0,3930.0,1599.0,503.0,1483.0,5.0,28.0,0.333,1.1,33.13
"Ozzie ""Bolly"" Albies",Career Hitting,2019,375.0,368.0,469.0,241.0,92.0,18.0,54.0,264.0,111.0,6.0,418.0,12.0,0.279,1496.0,0.332,0.473,0.806,8.0,37.0,0.822,14.0,5792.0,1630.0,708.0,186.0,519.0,2.0,9.0,0.307,0.78,27.7
